Health Issue,Yoga Asanas,Sets,Hold Duration (seconds),Diet Notes,Day Plan,Breakfast,Lunch,Dinner
Joint Pain,"Trikonasana (Triangle Pose), Virabhadrasana I & II (Warrior I & II), Setu Bandhasana (Bridge Pose), Gomukhasana (Cow Face Pose), Balasana (Child's Pose), Adho Mukha Svanasana (Downward-Facing Dog), Eka Pada Rajakapotasana (Pigeon Pose - gentle variation), Supta Baddha Konasana (Reclined Bound Angle Pose), Viparita Karani (Legs-Up-The-Wall Pose), Gentle Marjaryasana-Bitilasana (Cat-Cow Pose), Supported Squat, Garudasana (Eagle Pose), Parivrtta Janu Sirsasana (Revolved Head-to-Knee Pose), Ardha Chandrasana (Half Moon Pose - supported), Malasana (Garland Pose), Ankle Rotations, Knee Bends (sitting), Wrist Rotations",2,30,"Anti-inflammatory, plant-based",Day 3 - Gentle Stretch,Oatmeal with berries and nuts,Lentil soup with whole-grain bread,Baked salmon with roasted vegetables
Back Pain,"Bhujangasana (Cobra Pose), Marjaryasana-Bitilasana (Cat-Cow Pose), Supine Twist, Adho Mukha Svanasana (Downward-Facing Dog), Balasana (Child's Pose), Tadasana (Mountain Pose), Paschimottanasana (Seated Forward Bend), Setu Bandhasana (Bridge Pose), Apanasana (Knees-to-Chest Pose), Ustrasana (Camel Pose - gentle), Ardha Chandrasana (Half Moon Pose - supported), Sarvangasana (Shoulder Stand - supported), Matsyasana (Fish Pose - supported), Dhanurasana (Bow Pose - gentle), Bitilasana (Cow Pose), Marjaryasana (Cat Pose), Tiger Pose, Sphinx Pose",3,30,"High fiber, low processed foods",Day 2 - Core & Back,Scrambled eggs with spinach,Quinoa salad with grilled chicken/tofu,Chicken breast with sweet potato and green beans
Weight Loss,"Surya Namaskar (Sun Salutations), Virabhadrasana I, II & III (Warrior Poses), Plank Pose, Chaturanga Dandasana (Four-Limbed Staff Pose), Navasana (Boat Pose), Dhanurasana (Bow Pose), Urdhva Mukha Svanasana (Upward-Facing Dog), Vrikshasana (Tree Pose), Utkatasana (Chair Pose), Trikonasana (Triangle Pose), Ardha Chandrasana (Half Moon Pose), High Lunge, Anjaneyasana (Low Lunge), Paripurna Navasana (Full Boat Pose), Shalabhasana (Locust Pose), Chakki Chalanasana (Grinding Mill Pose), Parsvottanasana (Pyramid Pose), Bakasana (Crow Pose - advanced)",3,30,Mediterranean diet,Day 1 - Full Body Flow,Greek yogurt with fruit and granola,Large mixed greens salad with lean protein,Lean protein with large serving of non-starchy vegetables
High Uric Acid,"Ardha Matsyendrasana (Half Lord of the Fishes Pose), Pawanmuktasana (Wind-Relieving Pose), Bhujangasana (Cobra Pose), Paschimottanasana (Seated Forward Bend), Vajrasana (Thunderbolt Pose), Gomukhasana (Cow Face Pose), Ushtrasana (Camel Pose), Baddha Konasana (Bound Angle Pose), Malasana (Garland Pose), Janu Sirsasana (Head-to-Knee Pose), Supta Virasana (Reclined Hero Pose), Setu Bandhasana (Bridge Pose), Marichyasana I (Pose of Marichi I), Upavistha Konasana (Seated Wide-Legged Forward Fold), Halasana (Plough Pose - supported), Parivrtta Janu Sirsasana (Revolved Head-to-Knee Pose), Viparita Karani (Legs-Up-The-Wall Pose)",3,30,Low-purine diet,Day 5 - Detox,Whole-wheat toast with avocado,Vegetable stir-fry with brown rice,Vegetable broth and whole-wheat pasta
Stress,"Viparita Karani (Legs-Up-The-Wall Pose), Supta Baddha Konasana (Reclined Bound Angle Pose), Shavasana (Corpse Pose), Balasana (Child's Pose), Anjaneyasana (Low Lunge), Prasarita Padottanasana (Wide-Legged Forward Fold), Paschimottanasana (Seated Forward Bend), Janu Sirsasana (Head-to-Knee Pose), Sukhasana (Easy Pose) with Pranayama (e.g., Nadi Shodhana, Bhramari), Supported Fish Pose, Marjaryasana-Bitilasana (Cat-Cow Pose), Uttanasana (Standing Forward Fold), Setu Bandhasana (Bridge Pose), Ustrasana (Camel Pose - gentle), Sasangasana (Rabbit Pose), Yoga Nidra",2,60,"Calm teas, low caffeine",Day 6 - Relaxation,Chamomile tea with a light fruit salad,Light lentil soup with whole-grain crackers,Herbal tea and light vegetable broth
Diabetes,"Viparita Karani (Legs-Up-The-Wall Pose), Mandukasana (Frog Pose), Ardha Matsyendrasana (Half Lord of the Fishes Pose), Paschimottanasana (Seated Forward Bend), Pawanmuktasana (Wind-Relieving Pose), Vajrasana (Thunderbolt Pose), Dhanurasana (Bow Pose - gentle), Ushtrasana (Camel Pose - gentle), Shalabhasana (Locust Pose - half), Supta Baddha Konasana (Reclined Bound Angle Pose), Balasana (Child's Pose), Halasana (Plough Pose - supported), Bhujangasana (Cobra Pose), Trikonasana (Triangle Pose), Parivrtta Trikonasana (Revolved Triangle Pose), Chakki Chalanasana (Grinding Mill Pose), Gomukhasana (Cow Face Pose)",2,30,"Low GI, no sugar",Day 4 - Glucose Control,Besan Cheela with mint chutney,Brown rice with dal and mixed vegetables,Multigrain roti with sabzi and curd
Hypertension,"Sukhasana (Easy Pose), Anulom Vilom (Alternate Nostril Breathing), Baddha Konasana (Bound Angle Pose), Savasana (Corpse Pose), Janu Sirsasana (Head-to-Knee Forward Bend), Setu Bandhasana (Bridge Pose), Viparita Karani (Legs-Up-The-Wall Pose), Supported Shoulder Stand, Gentle Neck Stretches, Supta Virasana (Reclined Hero Pose - supported), Siddhasana (Accomplished Pose), Bhramari Pranayama (Humming Bee Breath), Uttanasana (Standing Forward Fold), Balasana (Child's Pose), Ardha Matsyendrasana (Half Lord of the Fishes Pose), Tadasana (Mountain Pose), Vrikshasana (Tree Pose)",2,60,"Low sodium, potassium-rich",Day 7 - Breathe & Calm,Fruit smoothie with spinach,Baked fish with steamed vegetables,Lentil soup with a side salad
PCOS/PCOD,"Supta Baddha Konasana (Reclined Bound Angle Pose), Bhujangasana (Cobra Pose), Baddha Konasana (Butterfly Pose), Ustrasana (Camel Pose), Sarvangasana (Shoulder Stand), Halasana (Plough Pose), Chakki Chalanasana (Grinding Mill Pose), Pawanmuktasana (Wind-Relieving Pose), Paschimottanasana (Seated Forward Bend), Marjaryasana-Bitilasana (Cat-Cow Pose), Malasana (Garland Pose), Dhanurasana (Bow Pose), Ardha Matsyendrasana (Half Lord of the Fishes Pose), Setu Bandhasana (Bridge Pose), Virabhadrasana II (Warrior II), Trikonasana (Triangle Pose), Surya Namaskar (gentle variations), Naukasana (Boat Pose)",3,30,"Low-carb, high-protein",Day 5 - Hormonal Flow,Poha with vegetables,Chicken/Paneer and vegetable curry with roti,Tofu/Paneer scramble with mixed veggies
Thyroid Issues,"Sarvangasana (Shoulder Stand), Matsyasana (Fish Pose), Halasana (Plough Pose), Ustrasana (Camel Pose), Sethu Bandhasana (Bridge Pose), Viparita Karani (Legs-Up-The-Wall Pose), Janu Sirsasana (Head-to-Knee Pose), Paschimottanasana (Seated Forward Bend), Bhujangasana (Cobra Pose), Dhanurasana (Bow Pose - gentle), Balasana (Child's Pose), Ardha Matsyendrasana (Half Lord of the Fishes Pose), Trikonasana (Triangle Pose), Marjaryasana-Bitilasana (Cat-Cow Pose), Simhasana (Lion Pose), Nadi Shodhana (Alternate Nostril Breathing), Surya Namaskar (slow, mindful)",2,45,"Iodine-rich, no goitrogens",Day 6 - Endocrine Balance,Quinoa porridge with flax seeds,Salmon with roasted vegetables,Chicken/Vegetable clear soup
Digestive Issues,"Pawanmuktasana (Wind-Relieving Pose), Vajrasana (Thunderbolt Pose), Ardha Matsyendrasana (Half Lord of the Fishes Pose), Paschimottanasana (Seated Forward Bend), Dhanurasana (Bow Pose - gentle), Bhujangasana (Cobra Pose), Ushtrasana (Camel Pose), Trikonasana (Triangle Pose), Ardha Chandrasana (Half Moon Pose), Malasana (Garland Pose), Supta Virasana (Reclined Hero Pose), Setu Bandhasana (Bridge Pose), Mayurasana (Peacock Pose - advanced, gentle prep), Agnisar Kriya (Abdominal massage - gentle), Nauli Kriya (abdominal churning - advanced, gentle prep), Matsyasana (Fish Pose - supported), Sukhasana (Easy Pose)",3,30,"Hydrating, high fiber",Day 2 - Digestion Flow,Papaya and chia seeds,Rice and vegetable khichdi,Moong dal cheela
